"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"sampleobsbase_key";"sampleobsbase_name";"sampleobsbase_label"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"nmefosa";"nmefosa";"Linear N-Methylperfluoro-1 octanesulphonamide";"MePFOSA";"HBM4EU";"parentcompound=Linear N-Methylperfluoro-1 octanesulphonamide (MePFOSA) (casnumber=31506-32-8)";"decimal";"water";"measured";10628;"ng/L";"ng/L";"ng/L";"ng/L";;"";"";0;;;;;"";"31506-32-8";"";"";"";;"pfasathome";1003;"Linear N-Methylperfluoro-1 octanesulphonamide";"Linear N-Methylperfluoro-1 octanesulphonamide";"MePFOSA"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"nmefosa";"nmefosa";"Linear N-Methylperfluoro-1 octanesulphonamide";"MePFOSA";"HBM4EU";"parentcompound=Linear N-Methylperfluoro-1 octanesulphonamide (MePFOSA) (casnumber=31506-32-8)";"decimal";"food";"measured";10628;"µg/kg ww";"µg/kg ww";"µg/kg ww";"µg/kg ww";;"";"";0;;;;;"";"31506-32-8";"";"";"";;"pfasathome";1003;"Linear N-Methylperfluoro-1 octanesulphonamide";"Linear N-Methylperfluoro-1 octanesulphonamide";"MePFOSA"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"obind";"obind";"Octabromotrimethylphenylindane";"OBIND";"HBM4EU";"parentcompound=Octabromotrimethylphenylindane (OBIND)";"decimal";"blood";"measured";10745;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"";"";"";"";;"HBM4EU Existing studies";1004;"Octabromotrimethylphenylindane";"Octabromotrimethylphenylindane";"OBIND"
"en";"Parc";"Exposure marker";"Dioxins;Organochlorine compounds (OCs)";"Dioxins";"ocdd";"ocdd";"Octachlorodibenzodioxin";"OCDD";"Parc";;"decimal";"blood";"measured";15056;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"3268-87-9";"";"";"https://pubchem.ncbi.nlm.nih.gov/compound/OCTACHLORODIBENZO-p-DIOXIN";;"Parc Mixtures project";6502.5;"Octachlorodibenzodioxin";"Octachlorodibenzodioxin";"OCDD"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"ohbap";"ohbap";"3-hydroxybenzo(a)pyrene";"3-hydroxyBaP";"HBM4EU";"parentcompound=Benzo[a]pyrene (BaP) (casnumber=50-32-8)";"decimal";"urine";"measured";11201;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0200083333333333;0.126692666666667;"";"";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1006;"3-hydroxybenzo(a)pyrene";"3-hydroxybenzo(a)pyrene";"3-hydroxyBaP"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"ohehdphp";"ohehdphp";"2-ethyl-5-hydroxyhexyl diphenyl phosphate";"5-HO-EHDPHP";"HBM4EU";"parentcompound=2-ethylhexyl diphenyl phosphate (EHDPHP) (casnumber=1241-94-7)";"decimal";"urine";"measured";10722;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.079;0.327;"";"";"PZMFWNXABLTZRN-UHFFFAOYSA-N";"(2-ethyl-5-hydroxyhexyl) diphenyl phosphate";"";;"Parc Mixtures project";1004;"2-ethyl-5-hydroxyhexyl diphenyl phosphate";"2-ethyl-5-hydroxyhexyl diphenyl phosphate";"5-HO-EHDPHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmeha";"ohmeha";"Mono(2-ethyl-5-hydroxyhexyl) adipate";"OH-MEHA";"HBM4EU";"parentcompound=Di-2-ethylhexyl adipate (DEHA)";"decimal";"urine";"measured";10156;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.32;"";"";"";"";"";;"Parc Mixtures project";1001;"Mono(2-ethyl-5-hydroxyhexyl) adipate";"Mono(2-ethyl-5-hydroxyhexyl) adipate";"OH-MEHA"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmehp";"ohmehp";"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"5OH-MEHP";"HBM4EU";"parentcompound=Di(2-ethylhexyl) phthalate (DEHP) (casnumber=117-81-7)";"decimal";"urine";"measured";10121;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;15.4002466666667;57.7766872222222;"";"40321-99-1";"RYPQSGURZSTFSX-UHFFFAOYSA-N";"";"";294.34;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1001;"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"5OH-MEHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmehp";"ohmehp";"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"5OH-MEHP";"HBM4EU";"parentcompound=Di(2-ethylhexyl) phthalate (DEHP) (casnumber=117-81-7)";"decimal";"nail";"measured";10121;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;1.54;321.46;"";"40321-99-1";"RYPQSGURZSTFSX-UHFFFAOYSA-N";"";"";294.34;"Parc dummy project;Parc Mixtures project";1001;"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"Mono(2-ethyl-5-hydroxy-hexyl) phthalate";"5OH-MEHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmehtp";"ohmehtp";"1-mono-(2-ethyl-5-hydroxy-hexyl) benzene-1,4-dicarboxylate";"5OH-MEHTP";"HBM4EU";"parentcompound=Di-2-ethylhexyl terephthalate (DEHTP)";"decimal";"urine";"measured";10157;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.51;4.05675;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"1-mono-(2-ethyl-5-hydroxy-hexyl) benzene-1,4-dicarboxylate";"1-mono-(2-ethyl-5-hydroxy-hexyl) benzene-1,4-dicarboxylate";"5OH-MEHTP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmibp";"ohmibp";"2-OH-Mono-iso-butylphthalate";"OH-MiBP";"HBM4EU";"parentcompound=Di-isobutyl phthalate (DiBP) (casnumber=84-69-5)";"decimal";"urine";"measured";10141;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;13.518335;61.688665;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"2-OH-Mono-iso-butylphthalate";"2-OH-Mono-iso-butylphthalate";"OH-MiBP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmidp";"ohmidp";"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"OH-MiDP";"HBM4EU";"parentcompound=Di-isodecyl phthalate (all C10 phthalates including DPHP) (DiDP) (casnumber=26761-40-0)";"decimal";"urine";"measured";10122;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;1.283;6.491329;"";"";"";"";"";322.4;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1001;"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"OH-MiDP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmidp";"ohmidp";"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"OH-MiDP";"HBM4EU";"parentcompound=Di-isodecyl phthalate (all C10 phthalates including DPHP) (DiDP) (casnumber=26761-40-0)";"decimal";"nail";"measured";10122;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"";"";"";"";322.4;"Parc dummy project";1001;"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"6-OH-Mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"OH-MiDP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmnbp";"ohmnbp";"3-OH-Mono-n-butyl phthalate";"OH-MnBP";"HBM4EU";"parentcompound=Di-n-butyl phthalate (DnBP) (casnumber=84-74-2)";"decimal";"urine";"measured";10142;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;4.57;20.229415;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"3-OH-Mono-n-butyl phthalate";"3-OH-Mono-n-butyl phthalate";"OH-MnBP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"ohmphp";"ohmphp";"6-OH-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"OH-MPHP";"HBM4EU";"parentcompound=Di(2-propylheptyl) phthalate (DPHP) (casnumber=53306-54-0)";"decimal";"urine";"measured";10151;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.302;1.495;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"6-OH-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"6-OH-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"OH-MPHP"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"ohpyr";"ohpyr";"1-hydroxypyrene";"1-PYR";"HBM4EU";"parentcompound=Pyrene (PYR) (casnumber=129-00-0)";"decimal";"urine";"measured";11212;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.125156428571429;0.543924642857143;"";"";"BIJNHUAPTJVVNQ-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1006;"1-hydroxypyrene";"1-hydroxypyrene";"1-PYR"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"ohtboep";"ohtboep";"Bis(2-butoxyethyl) 3-hydroxy-2-butoxyethyl phosphate";"3-HO-TBOEP";"HBM4EU";"parentcompound=Tris(2-butoxyethyl) phosphate";"decimal";"urine";"measured";10723;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.011;"";"";"ZYWDPVGRFHQPGL-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1004;"Bis(2-butoxyethyl) 3-hydroxy-2-butoxyethyl phosphate";"Bis(2-butoxyethyl) 3-hydroxy-2-butoxyethyl phosphate";"3-HO-TBOEP"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"ohtphp";"ohtphp";"Hydroxyphenyl diphenyl phosphate";"HO-TPHP";"HBM4EU";"parentcompound=Triphenyl phosphate (TPHP) (casnumber=115-86-6)";"decimal";"urine";"measured";10724;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.012;"";"";"NOPNBQOZUKISRP-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1004;"Hydroxyphenyl diphenyl phosphate";"Hydroxyphenyl diphenyl phosphate";"HO-TPHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"onefourdehtm";"onefourdehtm";"1,4-di-(2-ethylhexyl) trimellitate";"1,4-DEHTM";"HBM4EU";"parentcompound=Tri-(2-ethylhexyl) trimellitate (TOTM)";"decimal";"urine";"measured";10144;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc dummy project";1001;"1,4-di-(2-ethylhexyl) trimellitate";"1,4-di-(2-ethylhexyl) trimellitate";"1,4-DEHTM"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"onefourdehtm";"onefourdehtm";"1,4-di-(2-ethylhexyl) trimellitate";"1,4-DEHTM";"HBM4EU";"parentcompound=Tri-(2-ethylhexyl) trimellitate (TOTM)";"decimal";"nail";"measured";10144;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"";"";"";"";;"Parc dummy project";1001;"1,4-di-(2-ethylhexyl) trimellitate";"1,4-di-(2-ethylhexyl) trimellitate";"1,4-DEHTM"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"onehcry";"onehcry";"1-hydroxychrysene";"1-CRY";"HBM4EU";"parentcompound=Chrysene (CRY) (casnumber=218-01-9)";"decimal";"urine";"measured";11239;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;;"";"63019-38-5";"";"";"";;"Parc Mixtures project";1006;"1-hydroxychrysene";"1-hydroxychrysene";"1-CRY"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"onehphe";"onehphe";"1-hydroxyphenanthrene";"1-PHEN";"HBM4EU";"parentcompound=Phenanthrene (PHE) (casnumber=85-01-8)";"decimal";"urine";"measured";11213;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.145736;0.695622;"";"";"GTBXZWADMKOZQJ-UHFFFAOYSA-N";"";"";194.23;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1006;"1-hydroxyphenanthrene";"1-hydroxyphenanthrene";"1-PHEN"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"oneohnap";"oneohnap";"1-hydroxynaphthalene";"1-NAPH";"HBM4EU";"parentcompound=Naphthalene (NAPH) (casnumber=91-20-3)";"decimal";"urine";"measured";11214;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.9713825;9.9071875;"";"90-15-3";"KJCVRFUGPWSIIH-UHFFFAOYSA-N";"";"";144.17;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1006;"1-hydroxynaphthalene";"1-hydroxynaphthalene";"1-NAPH"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"opdde";"opdde";"O,p'-Dichlorodiphenyldichloroethylene";"o,p'-DDE";"Parc";"parentcompound=DDT";"decimal";"blood";"measured";12542;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"3424-82-6";"ZDYJWDIWLRZXDB-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/O_P_-Dde";;"HBM4EU Existing studies;Parc Mixtures project";1008;"O,p'-Dichlorodiphenyldichloroethylene";"O,p'-Dichlorodiphenyldichloroethylene";"o,p'-DDE"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"opddt";"opddt";"O,p'-dichlorodiphenyltrichloroethane";"o,p'-DDT";"Parc";"parentcompound=DDT";"decimal";"blood";"measured";12543;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.054756;0.054756;"";"789-02-6";"CVUGPAFCQJIYDT-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/O_P_-Ddt";;"HBM4EU Existing studies;Parc Mixtures project";1008;"O,p'-dichlorodiphenyltrichloroethane";"O,p'-dichlorodiphenyltrichloroethane";"o,p'-DDT"
"en";"FHBM";"General property";"Property of soil";"";"organicm_perc";"organicm_perc";"Organic material";;"Vito";;"decimal";"soil";"measured";1132;"% dm";"% dm";"% dm";"% dm";;"";"";1;;;;;"";"";"";"";"";;"ZWPFASPhase2";4000;"Organic material";"Organic material";""
"en";"Parc";"General property";"Property of urine";"";"osm";"osm";"Osmotic concentration of urine of the sample";;"HBM4EU";;"decimal";"urine";"measured";1142;"Osm/L";"Osm/L";"Osm/L";"Osm/L";;"";"";;0.1;1.5;;;"";"";"";"";"";;"HBM4EU Aligned studies";4002;"Osmotic concentration of urine of the sample";"Osmotic concentration of urine of the sample";""
"en";"Parc";"Exposure marker";"Mycotoxins";"Mycotoxins";"ota";"ota";"Ochratoxin A Free";"OTA";"HBM4EU";"parentcompound=Ochratoxin A (OTA) (casnumber=303-47-9)";"decimal";"urine";"measured";12233;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;0.06;"";"303-47-9";"";"";"";;"Parc Mixtures project";10001;"Ochratoxin A";"Ochratoxin A";"OTA"
"en";"Parc";"Exposure marker";"Pesticides;Organochlorine compounds (OCs)";"Pesticides";"oxc";"oxc";"Oxychlordane";"OXC";"Parc";;"decimal";"blood";"measured";15060;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;0.019;0.0452;"";"27304-13-8";"VWGNQYSIWFHEQU-KGEUUOKHSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";5505.5;"Oxychlordane";"Oxychlordane";"OXC"
"en";"Parc";"Exposure marker";"Pesticides;Organochlorine compounds (OCs)";"Pesticides";"oxc";"oxc";"Oxychlordane";"OXC";"Parc";;"decimal";"cord blood";"measured";15060;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;0.003;0.007;"";"27304-13-8";"VWGNQYSIWFHEQU-KGEUUOKHSA-N";"";"";;"HBM4EU Existing studies";5505.5;"Oxychlordane";"Oxychlordane";"OXC"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomeha";"oxomeha";"Mono(2-ethyl-5-oxohexyl) adipate";"oxo-MEHA";"HBM4EU";"parentcompound=Di-2-ethylhexyl adipate (DEHA)";"decimal";"urine";"measured";10158;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Mono(2-ethyl-5-oxohexyl) adipate";"Mono(2-ethyl-5-oxohexyl) adipate";"oxo-MEHA"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomehp";"oxomehp";"Mono(2-ethyl-5-oxo-hexyl) phthalate";"5oxo-MEHP";"HBM4EU";"parentcompound=Di(2-ethylhexyl) phthalate (DEHP) (casnumber=117-81-7)";"decimal";"urine";"measured";10123;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;11.8374511111111;54.0630427777778;"";"40321-98-0";"HCWNFKHKKHNSSL-UHFFFAOYSA-N";"";"";292.33;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc dummy project;Parc Mixtures project";1001;"Mono(2-ethyl-5-oxo-hexyl) phthalate";"Mono(2-ethyl-5-oxo-hexyl) phthalate";"5oxo-MEHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomehp";"oxomehp";"Mono(2-ethyl-5-oxo-hexyl) phthalate";"5oxo-MEHP";"HBM4EU";"parentcompound=Di(2-ethylhexyl) phthalate (DEHP) (casnumber=117-81-7)";"decimal";"nail";"measured";10123;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"40321-98-0";"HCWNFKHKKHNSSL-UHFFFAOYSA-N";"";"";292.33;"Parc dummy project;Parc Mixtures project";1001;"Mono(2-ethyl-5-oxo-hexyl) phthalate";"Mono(2-ethyl-5-oxo-hexyl) phthalate";"5oxo-MEHP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomehtp";"oxomehtp";"1-mono-(2-ethyl-5-oxo-hexyl) benzene-1,4-dicarboxylate";"5oxo-MEHTP";"HBM4EU";"parentcompound=Di-2-ethylhexyl terephthalate (DEHTP)";"decimal";"urine";"measured";10145;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.53;4.3015;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"1-mono-(2-ethyl-5-oxo-hexyl) benzene-1,4-dicarboxylate";"1-mono-(2-ethyl-5-oxo-hexyl) benzene-1,4-dicarboxylate";"5oxo-MEHTP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomidp";"oxomidp";"6-Oxo-mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"oxo-MiDP";"HBM4EU";"parentcompound=Di-isodecyl phthalate (all C10 phthalates including DPHP) (DiDP) (casnumber=26761-40-0)";"decimal";"urine";"measured";10159;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.435;2.29572333333333;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"6-Oxo-mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"6-Oxo-mono-propyl-heptyl phthalate (LC-MS/MS method, sum of all C10 metabolites including the DPHP metabolites)";"oxo-MiDP"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"oxomphp";"oxomphp";"6-Oxo-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"oxo-MPHP";"HBM4EU";"parentcompound=Di(2-propylheptyl) phthalate (DPHP) (casnumber=53306-54-0)";"decimal";"urine";"measured";10152;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.316;1.8525;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"6-Oxo-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"6-Oxo-mono-propyl-heptyl phthalate (GC-HRMS method, only DPHP metabolites)";"oxo-MPHP"
"en";"Parc";"Exposure marker";"Glycol ethers";"Glycol ethers";"paa";"paa";"2-propoxyacetic acid";"PAA";"Parc";"parentcompound=2-(propyloxy)ethanol (EGnPE) (casnumber=2807-30-9)";"decimal";"urine";"measured";16716;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"54497-00-6";"SGUYGLMQEOSQTH-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/2-Propoxyacetic-acid";;"Parc Mixtures project";3003;"2-propoxyacetic acid";"2-propoxyacetic acid";"PAA"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"paret";"paret";"Parathion-ethyl";;"Parc";;"decimal";"urine";"measured";12544;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Parathion";;"Parc Mixtures project";1008;"Parathion-ethyl";"Parathion-ethyl";""
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"parmet";"parmet";"Parathion-methyl";;"Parc";;"decimal";"urine";"measured";12545;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"298-00-0";"RLBIQVVOMOPOHC-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Methyl-parathion";;"Parc Mixtures project";1008;"Parathion-methyl";"Parathion-methyl";""
"en";"Parc";"Exposure marker";"Metals";"Metals";"pb";"pb";"Lead";"Pb";"HBM4EU";"parentcompound=Lead (Pb) (casnumber=7439-92-1)";"decimal";"urine";"measured";11511;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;1.99064757575758;4.83488257575758;"";"7439-92-1";"AERBNCYCJBRYDG-KSZLIROESA-N;RVPVRDXYQKGNMQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1013;"Lead";"Lead";"Pb"
"en";"Parc";"Exposure marker";"Metals";"Metals";"pb";"pb";"Lead";"Pb";"HBM4EU";"parentcompound=Lead (Pb) (casnumber=7439-92-1)";"decimal";"blood";"measured";11511;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;15.2318054545455;34.2437827272727;"";"7439-92-1";"AERBNCYCJBRYDG-KSZLIROESA-N;RVPVRDXYQKGNMQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1013;"Lead";"Lead";"Pb"
"en";"Parc";"Exposure marker";"Metals";"Metals";"pb";"pb";"Lead";"Pb";"HBM4EU";"parentcompound=Lead (Pb) (casnumber=7439-92-1)";"decimal";"cord blood";"measured";11511;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;9.2875485;28.233255;"";"7439-92-1";"AERBNCYCJBRYDG-KSZLIROESA-N;RVPVRDXYQKGNMQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies";1013;"Lead";"Lead";"Pb"
"en";"Parc";"Exposure marker";"Metals";"Metals";"pb";"pb";"Lead";"Pb";"HBM4EU";"parentcompound=Lead (Pb) (casnumber=7439-92-1)";"decimal";"breast milk";"measured";11511;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"7439-92-1";"AERBNCYCJBRYDG-KSZLIROESA-N;RVPVRDXYQKGNMQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies";1013;"Lead";"Lead";"Pb"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"pbb153";"pbb153";"Hexabromobiphenyl";"PBB-153";"Parc";"parentcompound=Hexabromobiphenyl (PBB-153) (casnumber=59080-40-9)";"decimal";"blood";"measured";10768;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;0.02;0.02;"";"59080-40-9";"";"";"";;"Parc Mixtures project";1004;"Hexabromobiphenyl";"Hexabromobiphenyl";"PBB-153"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"pbeb";"pbeb";"Pentabromoethylbenzene";"PBEB";"HBM4EU";"parentcompound=Pentabromoethylbenzene (PBEB) (casnumber=85-22-3)";"decimal";"blood";"measured";10746;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"85-22-3";"";"";"";;"HBM4EU Existing studies";1004;"Pentabromoethylbenzene";"Pentabromoethylbenzene";"PBEB"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"pbph";"pbph";"Pentabromophenol";"PBP";"HBM4EU";"parentcompound=Pentabromophenol (PBP) (casnumber=608-71-9)";"decimal";"breast milk";"measured";10747;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"608-71-9";"";"";"";;"HBM4EU Existing studies";1004;"Pentabromophenol";"Pentabromophenol";"PBP"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"pbt";"pbt";"Pentabromotoluene";"PBT";"HBM4EU";"parentcompound=Pentabromotoluene (PBT) (casnumber=87-83-2)";"decimal";"blood";"measured";10748;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";;;;;;"";"87-83-2";"";"";"";;"HBM4EU Existing studies";1004;"Pentabromotoluene";"Pentabromotoluene";"PBT"
"en";"Parc";"Exposure marker";"Organochlorine compounds (OCs)";"PCBs";"pcb101";"pcb101";"Polychlorinated biphenyl 101";"PCB 101";"Parc";"parentcompound=Polychlorinated biphenyl (PCB)";"decimal";"blood";"measured";15000;"µg/L";"µg/L";"µg/L";"µg/L";;"lip";"";0;;;0.03;0.0325;"";"37680-73-2";"LAHWLEDBADHJGA-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";10003;"Polychlorinated biphenyl 101";"Polychlorinated biphenyl 101";"PCB 101"
