"lingo";"stakeholder_key";"category_level1";"category_level2";"compoundgroup_name";"sampleobscore_key";"varname";"name";"label";"harmonisationlevel";"relatedinfo";"datatype_key";"samplegroup_key";"vartype_key";"sampleobscore_sort";"unit_key";"unit_name";"preferred_unit_name";"preferred_unit_key";"significantdecimals";"extensions";"formula";"zeroallowed";"min";"max";"p50";"p95";"chebi";"casnumber";"inchikey";"iupac";"refs";"molweight_grampermol";"projectname";"category_sort";"category_key"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"mepfosaa";"mepfosaa";"Linear 2-(N-Methylperfluorooctanesulfonamido)acetic acid";"MePFOSAA";"Vito";"parentcompound(s) = Linear 2-(N-Methylperfluorooctanesulfonamido)acetic acid (MePFOSAA) (casnumber=2355-31-9)";"decimal";"water";"measured";10664;"ng/L";"ng/L";"ng/L";"ng/L";;"";"";0;;;;;"";"2355-31-9";"";"";"";;"pfasathome;ZWPFASPhase2";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"mepfosaa";"mepfosaa";"Linear 2-(N-Methylperfluorooctanesulfonamido)acetic acid";"MePFOSAA";"Vito";"parentcompound(s) = Linear 2-(N-Methylperfluorooctanesulfonamido)acetic acid (MePFOSAA) (casnumber=2355-31-9)";"decimal";"soil";"measured";10664;"µg/kg dm";"µg/kg dm";"µg/kg dm";"µg/kg dm";;"";"";0;;;;;"";"2355-31-9";"";"";"";;"pfasathome;ZWPFASPhase2";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"Parc";"Exposure marker";"Parabens";"Parabens";"metpar";"metpar";"Methylparaben";;"Parc";"parentcompound(s) = Methyl 4-hydroxybenzoate";"decimal";"urine";"measured";2154;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;19;470;"";"99-76-3";"LXCFILQKKLGQFO-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1017;"Parabens"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mg";"mg";"Magnesium";"Mg";"Parc";;"decimal";"blood";"measured";11538;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"7439-95-4";"FYYHWMGAXLPEAU-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1013;"Metals"
"en";"FHBM";"Effect marker";"Kidney function";"";"mga1";"mga1";"Alpha1-microglobuline";;"Vito";;"decimal";"urine";"measured";1951;"mg/L";"mg/L";"mg/L";"mg/L";;"";"";0;;;;;"";"";"";"";"";;"ZWPFASPhase2";2008;"Kidney function"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mhg";"mhg";"Methyl mercury";"MeHg";"HBM4EU";"parentcompound(s) = Methyl mercury (MeHg) (casnumber=22967-92-6)";"decimal";"cord blood";"measured";11509;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.39642;1.36183;"";"22967-92-6";"JJWSNOOGIUMOEE-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mhg";"mhg";"Methyl mercury";"MeHg";"HBM4EU";"parentcompound(s) = Methyl mercury (MeHg) (casnumber=22967-92-6)";"decimal";"hair";"measured";11509;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"22967-92-6";"JJWSNOOGIUMOEE-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mhhpp";"mhhpp";"Mono-hydroxyheptyl phthalate";"MHHpP";"HBM4EU";"parentcompound(s) = Di-n-heptyl phthalate (DnHpP) (casnumber=3648-21-3)";"decimal";"urine";"measured";10130;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mhhxp";"mhhxp";"Mono-(5-hydroxyhexyl) phthalate";"MHHxP";"HBM4EU";"parentcompound(s) = Di-n-hexyl phthalate (DnHxP) (casnumber=84-75-3)";"decimal";"urine";"measured";10131;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"DINCH";"DINCH";"mhnch";"mhnch";"Cyclohexane-1,2-dicarboxylate-mono-(7-hydroxy-4-methyl)octyl ester";"OH-MINCH";"HBM4EU";"parentcompound(s) = Di-isononyl cyclohexane-1,2-dicarboxylate (DINCH) (casnumber=166412-78-8)";"decimal";"urine";"measured";10502;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;1.51931;11.5067;"";"";"RFNYHMLLEAVKHD-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1002;"DINCH"
"en";"Parc";"Exposure marker";"DINCH";"DINCH";"mhnch";"mhnch";"Cyclohexane-1,2-dicarboxylate-mono-(7-hydroxy-4-methyl)octyl ester";"OH-MINCH";"HBM4EU";"parentcompound(s) = Di-isononyl cyclohexane-1,2-dicarboxylate (DINCH) (casnumber=166412-78-8)";"decimal";"nail";"measured";10502;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"";"RFNYHMLLEAVKHD-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1002;"DINCH"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mhnp";"mhnp";"7-OH-(Mono-methyl-octyl) phthalate";"OH-MiNP";"HBM4EU";"parentcompound(s) = Di-isononyl phthalate (DiNP) (casnumber=28553-12-0)";"decimal";"urine";"measured";10118;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;6.057885;30.54562;"";"";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mibp";"mibp";"Mono-isobutyl phthalate";"MiBP";"HBM4EU";"parentcompound(s) = Di-isobutyl phthalate (DiBP) (casnumber=84-69-5)";"decimal";"urine";"measured";10119;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;29.34467;129.345056666667;"";"30833-53-5";"RZJSUWQGFCHNFS-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mibp";"mibp";"Mono-isobutyl phthalate";"MiBP";"HBM4EU";"parentcompound(s) = Di-isobutyl phthalate (DiBP) (casnumber=84-69-5)";"decimal";"nail";"measured";10119;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"30833-53-5";"RZJSUWQGFCHNFS-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"midp";"midp";"Mono-propyl-heptyl phthalate";"MiDP";"HBM4EU";"parentcompound(s) = Di-isodecyl phthalate (all C10 phthalates including DPHP) (DiDP) (casnumber=26761-40-0)";"decimal";"urine";"measured";10155;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"HBM4EU Existing studies";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"midp";"midp";"Mono-propyl-heptyl phthalate";"MiDP";"HBM4EU";"parentcompound(s) = Di-isodecyl phthalate (all C10 phthalates including DPHP) (DiDP) (casnumber=26761-40-0)";"decimal";"nail";"measured";10155;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"DINCH";"DINCH";"minch";"minch";"Cyclohexane-1,2-dicarboxylic acid mono-isononyl ester";"MINCH";"HBM4EU";"parentcompound(s) = Di-isononyl cyclohexane-1,2-dicarboxylate (DINCH) (casnumber=166412-78-8)";"decimal";"urine";"measured";10503;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;;0.25;"";"";"HGYNPCSGHWFMTB-KFTPUPIBSA-N";"";"";;"Parc Mixtures project";1002;"DINCH"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"minp";"minp";"Mono-methyl-octyl phthalate";"MiNP";"HBM4EU";"parentcompound(s) = Di-isononyl phthalate (DiNP) (casnumber=28553-12-0)";"decimal";"urine";"measured";10133;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.474305;2.697545;"";"519056-28-1";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mipep";"mipep";"Mono-isopentyl phthalate";"MiPeP";"HBM4EU";"parentcompound(s) = Di-isopentyl phthalate (DiPeP) (casnumber=605-50-5)";"decimal";"urine";"measured";10134;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Flame retardants";"Flame retardants";"mirex";"mirex";"Perchloropentacyclodecane";"mirex";"HBM4EU";"parentcompound(s) = Perchloropentacyclodecane (mirex) (casnumber=2385-85-5)";"decimal";"blood";"measured";10744;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.01;0.05;"";"2385-85-5";"";"";"";;"Parc Mixtures project";1004;"Flame retardants"
"en";"Parc";"Exposure marker";"Musks";"Musks";"mk";"mk";"Musk ketone";"MK";"Parc";;"decimal";"blood";"measured";11802;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"WXCMHFPAUCOJIG-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1018;"Musks"
"en";"FHBM";"Exposure marker";"Metals";"Metals";"mma";"mma";"Monomethylarsonic";"MMA";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11510;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.72;1.86083333333333;"";"";"QYPPRTNMGCREIM-UHFFFAOYSA-N";"";"";;"ZWPFASPhase2";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mma";"mma";"Monomethylarsonic";"MMA";"HBM4EU";"parentcompound(s) = Arsenic (As) (casnumber=7440-38-2)";"decimal";"urine";"measured";11510;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.72;1.86083333333333;"";"";"QYPPRTNMGCREIM-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mmp";"mmp";"Mono-methyl phthalate";"MMP";"HBM4EU";"parentcompound(s) = Dimethyl phthalate (DMP) (casnumber=131-11-3)";"decimal";"urine";"measured";10150;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;2.81777666666667;24.8994633333333;"";"4376-18-5";"FNJSWIPFHMKRAT-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mmp";"mmp";"Mono-methyl phthalate";"MMP";"HBM4EU";"parentcompound(s) = Dimethyl phthalate (DMP) (casnumber=131-11-3)";"decimal";"nail";"measured";10150;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"4376-18-5";"FNJSWIPFHMKRAT-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mn";"mn";"Manganese";"Mn";"Parc";;"decimal";"blood";"measured";11517;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;10.115625;16.81175;"";"7439-96-5";"XAKRLAGTRUNQIA-UHFFFAOYSA-N;PWHULOQIROXLJO-UHFFFAOYSA-N;YZTQKMVBEGUONQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mn";"mn";"Manganese";"Mn";"Parc";;"decimal";"urine";"measured";11517;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.0758718181818182;0.339009318181818;"";"7439-96-5";"XAKRLAGTRUNQIA-UHFFFAOYSA-N;PWHULOQIROXLJO-UHFFFAOYSA-N;YZTQKMVBEGUONQ-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mn";"mn";"Manganese";"Mn";"Parc";;"decimal";"cord blood";"measured";11517;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;30.9185;56.2225;"";"7439-96-5";"XAKRLAGTRUNQIA-UHFFFAOYSA-N;PWHULOQIROXLJO-UHFFFAOYSA-N;YZTQKMVBEGUONQ-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies";1013;"Metals"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mnbp";"mnbp";"Mono-n-butyl phthalate";"MnBP";"HBM4EU";"parentcompound(s) = Di-n-butyl phthalate (DnBP) (casnumber=84-74-2)";"decimal";"urine";"measured";10120;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;27.58039625;108.84444125;"";"131-70-4";"YZBOVSFWWNVKRJ-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mnbp";"mnbp";"Mono-n-butyl phthalate";"MnBP";"HBM4EU";"parentcompound(s) = Di-n-butyl phthalate (DnBP) (casnumber=84-74-2)";"decimal";"nail";"measured";10120;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"131-70-4";"YZBOVSFWWNVKRJ-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mnhpp";"mnhpp";"Mono-n-heptyl phthalate";"MnHpP";"HBM4EU";"parentcompound(s) = Di-n-heptyl phthalate (DnHpP) (casnumber=3648-21-3)";"decimal";"urine";"measured";10136;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mnhxp";"mnhxp";"Mono-n-hexyl phthalate";"MnHxP";"HBM4EU";"parentcompound(s) = Di-n-hexyl phthalate (DnHxP) (casnumber=84-75-3)";"decimal";"urine";"measured";10137;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mnpep";"mnpep";"Mono-n-pentyl phthalate";"MnPeP";"HBM4EU";"parentcompound(s) = Di-n-pentyl phthalate (DnPeP) (casnumber=131-18-0)";"decimal";"urine";"measured";10102;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.1;0.342749999999998;"";"24539-56-8";"FPGPRAKRYDSZAW-UHFFFAOYSA-N";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mo";"mo";"Molybdenum";"Mo";"Parc";;"decimal";"blood";"measured";11524;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;0.589941232663336;1.05787471694737;"";"7439-98-7";"";"";"https://en.wikipedia.org/wiki/Molybdenum";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"Metals";"Metals";"mo";"mo";"Molybdenum";"Mo";"Parc";;"decimal";"urine";"measured";11524;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;44.3828687908901;125.312748102266;"";"7439-98-7";"";"";"https://en.wikipedia.org/wiki/Molybdenum";;"Parc Mixtures project";1013;"Metals"
"en";"Parc";"Exposure marker";"DINCH";"DINCH";"monch";"monch";"Cyclohexane-1,2-dicarboxylate-mono-(7-oxo-4-methyl)octyl ester";"oxo-MINCH";"HBM4EU";"parentcompound(s) = Di-isononyl cyclohexane-1,2-dicarboxylate (DINCH) (casnumber=166412-78-8)";"decimal";"urine";"measured";10504;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;0.78667;6.02717;"";"";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1002;"DINCH"
"en";"FHBM";"Effect marker";"Blood and blood composition";"";"monocy_perc";"monocy_perc";"Percentage Monocytes";"% Monocy";"Vito";;"decimal";"blood";"measured";1112;"%";"%";"%";"%";;"";"";1;;;;;"";"";"";"";"";;"ZWPFASPhase2";2007;"Blood and blood composition"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"monp";"monp";"7-Oxo-(mono-methyl-octyl) phthalate";"oxo-MiNP";"HBM4EU";"parentcompound(s) = Di-isononyl phthalate (DiNP) (casnumber=28553-12-0)";"decimal";"urine";"measured";10138;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;3.64312333333333;18.8154933333333;"";"936022-00-3";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mop";"mop";"Mono-n-octyl phthalate";"MnOP";"HBM4EU";"parentcompound(s) = Di-n-octyl phthalate (DnOP) (casnumber=117-84-0)";"decimal";"urine";"measured";10101;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.100025;0.161012;"";"5393-19-1";"";"";"";;"HBM4EU Aligned studies;HBM4EU Existing studies;Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"mot";"mot";"Monooctyltin";"MOT";"Parc";;"decimal";"urine";"measured";12540;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"27107-89-7";"VRHNBQIZKZHDFS-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/Monooctyltin";;"Parc Mixtures project";1008;"Pesticides"
"en";"Parc";"Exposure marker";"Glycol ethers";"Glycol ethers";"mpa";"mpa";"Methoxyproprionic acid";"MPA";"Parc";"parentcompound(s) = 2-methoxypropanol (1PG2ME) (casnumber=1589-47-5)";"decimal";"urine";"measured";16715;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"4324-37-2";"ICPWFHKNYYRBSZ-UHFFFAOYSA-N";"";"https://pubchem.ncbi.nlm.nih.gov/compound/92209";;"Parc Mixtures project";3003;"Glycol ethers"
"en";"Parc";"Exposure marker";"Pesticides";"Pesticides";"mpht";"mpht";"Monophenyltin";"MPhT";"Parc";;"decimal";"urine";"measured";12541;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"2406-68-0";"STDQUICYXYCHOM-UHFFFAOYSA-N";"";"";;"Parc Mixtures project";1008;"Pesticides"
"en";"Parc";"Exposure marker";"Phthalates";"Phthalates";"mprp";"mprp";"Mono-propyl phthalate";"MnPrP";"HBM4EU";"parentcompound(s) = Di-n-propyl phthalate (DnPrP) (casnumber=131-16-8)";"decimal";"urine";"measured";10140;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;;;"";"";"";"";"";;"Parc Mixtures project";1001;"Phthalates"
"en";"Parc";"Exposure marker";"Musks";"Musks";"mx";"mx";"Musk xylene";"MX";"Parc";;"decimal";"blood";"measured";11803;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"";"XMWRWTSZNLOZFN-UHFFFAOYSA-N";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1018;"Musks"
"en";"Parc";"Exposure marker";"Anilines and MOCA";"Anilines and MOCA";"nafourap";"nafourap";"N-acetyl-4-aminophenol";"NA4AP";"HBM4EU";"parentcompound(s) = Aniline (Aniline) (casnumber=62-53-3)";"decimal";"urine";"measured";11411;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";;;;73.655;96636.825;"";"103-90-2";"";"";"";;"HBM4EU Existing studies";1007;"Anilines and MOCA"
"en";"Parc";"Exposure marker";"Polycyclic Aromatic Hydrocarbons (PAHs)";"Polycyclic Aromatic Hydrocarbons (PAHs)";"naph";"naph";"Naphthalene";"NAPH";"HBM4EU";"parentcompound(s) = Naphthalene (NAPH) (casnumber=91-20-3)";"decimal";"urine";"measured";11238;"µg/L";"µg/L";"µg/L";"µg/L";;"crt;sg";"";0;;;0.0778;0.2093;"";"91-20-3";"";"";"";;"Parc Mixtures project";1006;"Polycyclic Aromatic Hydrocarbons (PAHs)"
"en";"FHBM";"Effect marker";"Blood and blood composition";"";"nepbcells_perc";"nepbcells_perc";"Percentage Fake B cells";"% CD19+";"Vito";;"decimal";"blood";"measured";1115;"%";"%";"%";"%";;"";"";0;;;;;"";"";"";"";"";;"ZWPFASPhase2";2007;"Blood and blood composition"
"en";"FHBM";"Effect marker";"Blood and blood composition";"";"nepnkcel_perc";"nepnkcel_perc";"Percentage Natural killer cells";"% CD3-/CD56+";"Vito";;"decimal";"blood";"measured";1119;"%";"%";"%";"%";;"";"";0;;;;;"";"";"";"";"";;"ZWPFASPhase2";2007;"Blood and blood composition"
"en";"Parc";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"cord blood";"measured";10626;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"4151-50-2";"";"";"";;"HBM4EU Existing studies";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"blood";"measured";10626;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"ZWPFASPhase2";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"Parc";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"blood";"measured";10626;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"HBM4EU Existing studies;Parc Mixtures project";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"Parc";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"placenta tissue";"measured";10626;"ng/g";"ng/g";"ng/g";"ng/g";;"";"";;;;;;"";"4151-50-2";"";"";"";;"HBM4EU Existing studies";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"soil";"measured";10626;"µg/kg dm";"µg/kg dm";"µg/kg dm";"µg/kg dm";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"pfasathome";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"air";"measured";10626;"ng/filter";"ng/filter";"ng/filter";"ng/filter";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"pfasathome";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"food";"measured";10626;"µg/kg ww";"µg/kg ww";"µg/kg ww";"µg/kg ww";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"pfasathome";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"Parc";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"breast milk";"measured";10626;"µg/L";"µg/L";"µg/L";"µg/L";;"";"";;;;;;"";"4151-50-2";"";"";"";;"HBM4EU Existing studies";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"netfosa";"netfosa";"Linear N-Ethylperfluoro-1-octanesulphonamide";"EtPFOSA";"HBM4EU";"parentcompound(s) = Linear N-Ethylperfluoro-1-octanesulphonamide (EtPFOSA) (casnumber=4151-50-2)";"decimal";"water";"measured";10626;"ng/L";"ng/L";"ng/L";"ng/L";;"";"";0;;;;;"";"4151-50-2";"";"";"";;"pfasathome";1003;"Per-/poly-fluorinated compounds (PFASs)"
"en";"FHBM";"Effect marker";"Blood and blood composition";"";"neutro_perc";"neutro_perc";"Percentage Neutrophil segments";"%Neutro";"Vito";;"decimal";"blood";"measured";1113;"%";"%";"%";"%";;"";"";1;;;;;"";"";"";"";"";;"ZWPFASPhase2";2007;"Blood and blood composition"
"en";"FHBM";"Exposure marker";"Per-/poly-fluorinated compounds (PFASs)";"Per-/poly-fluorinated compounds (PFASs)";"nfdha";"nfdha";"Linear Perfluoro-3,6-dioxaheptanoic acid";"NFDHA";"Vito";"parentcompound(s) = Linear Perfluoro-3,6-dioxaheptanoic acid (NFDHA) (casnumber=151772-58-6)";"decimal";"food";"measured";10665;"µg/kg ww";"µg/kg ww";"µg/kg ww";"µg/kg ww";;"";"";0;;;;;"";"151772-58-6";"";"";"";;"pfasathome";1003;"Per-/poly-fluorinated compounds (PFASs)"
